group_id,event,ambiguousflag,track_id,filename,video,frame,datetime,tagid,mergethreshold,eventid,short_interruption,complex,comment,error,to_review,labelbee_valid
35,DU,False,16335,5second/track_16335_5s.png,27_02_R_190808120000.cfr.mp4,62464,2019-08-08 12:52:10.550,144,5s,144__16335_16358,x,,stay_at_entrance,,,
36,x,x,16437,5second/track_16437_5s.png,27_02_R_190808120000.cfr.mp4,62908,2019-08-08 12:52:33.000,144,5s,144__16437_16455_16466,x,x,stay_at_entrance,,,
37,DU,,17218,5second/track_17218_5s.png,27_02_R_190808120000.cfr.mp4,66587,2019-08-08 12:55:43.850,144,5s,144__17218,,,,,,
38,DU,,17605,5second/track_17605_5s.png,27_02_R_190808120000.cfr.mp4,68785,2019-08-08 12:57:47.550,144,5s,144__17605_17615_17684,x,x,,,,
39,DU,,17741,5second/track_17741_5s.png,27_02_R_190808120000.cfr.mp4,69543,2019-08-08 12:58:08.150,144,5s,144__17741,,,,,,
40,D,,2770,5second/track_02770_5s.png,28_02_R_190808130000.cfr.mp4,13467,2019-08-08 13:11:15.000,144,5s,144__2770,,,,,,
41,U,,2874,5second/track_02874_5s.png,28_02_R_190808130000.cfr.mp4,13791,2019-08-08 13:11:32.500,144,5s,144__2874,,,,,,
42,D,,2524,5second/track_02524_5s.png,31_02_R_190808160000.cfr.mp4,8058,2019-08-08 16:06:46.650,144,5s,144__2524,,,,,,
43,x,x,9128,5second/track_09128_5s.png,29_02_R_190808140000.cfr.mp4,40413,2019-08-08 14:33:40.800,168,5s,168__9128,,,,,,
44,D,,3789,5second/track_03789_5s.png,27_02_R_190808120000.cfr.mp4,15608,2019-08-08 12:13:07.650,176,5s,176__3789,,,,,,
45,UD,,3904,5second/track_03904_5s.png,27_02_R_190808120000.cfr.mp4,16041,2019-08-08 12:13:30.200,176,5s,176__3904_3939,x,,,,,
46,D,,6758,5second/track_06758_5s.png,5_02_R_190807150000.cfr.mp4,28580,2019-08-07 15:23:54.000,186,5s,186__6758,,,,,,
47,D,,1740,5second/track_01740_5s.png,3_02_R_190807130000.cfr.mp4,9990,2019-08-07 13:08:22.500,187,5s,187__1740,,,,,,
48,DU,,2475,5second/track_02475_5s.png,3_02_R_190807130000.cfr.mp4,13717,2019-08-07 13:11:35.250,187,5s,187__2475,,,,,,
49,DU,x,2536,5second/track_02536_5s.png,3_02_R_190807130000.cfr.mp4,14156,2019-08-07 13:11:53.550,187,5s,187__2536_2541,x,,stay_at_entrance,,,
50,DU,,5194,5second/track_05194_5s.png,3_02_R_190807130000.cfr.mp4,38232,2019-08-07 13:32:07.350,187,5s,187__5194,,,,,,
51,DU,x,5613,5second/track_05613_5s.png,3_02_R_190807130000.cfr.mp4,41156,2019-08-07 13:34:24.150,187,5s,187__5613,,,,,,
52,D,,5731,5second/track_05731_5s.png,3_02_R_190807130000.cfr.mp4,41655,2019-08-07 13:34:50.350,187,5s,187__5731,,,,,,
53,x,True,6750,5second/track_06750_5s.png,3_02_R_190807130000.cfr.mp4,45848,2019-08-07 13:38:13.750,187,5s,187__6750,,,,,,
54,DU,,9099,5second/track_09099_5s.png,3_02_R_190807130000.cfr.mp4,59168,2019-08-07 13:49:34.900,187,5s,187__9099,,,,,,
55,U,,9146,5second/track_09146_5s.png,3_02_R_190807130000.cfr.mp4,59453,2019-08-07 13:49:52.050,187,5s,187__9146_9210_9226_9245,,,,,,
56,DU,x,10951,5second/track_10951_5s.png,5_02_R_190807150000.cfr.mp4,45770,2019-08-07 15:38:17.200,187,5s,187__10951,,,stay_at_entrance,,,
57,D,,20417,5second/track_20417_5s.png,30_02_R_190808150000.cfr.mp4,69307,2019-08-08 15:57:48.450,187,5s,187__20417,,,,,,
58,D,,663,5second/track_00663_5s.png,1_02_R_190807110000.cfr.mp4,3005,2019-08-07 11:02:31.550,199,5s,199__663,,,,,,
59,U,,1676,5second/track_01676_5s.png,1_02_R_190807110000.cfr.mp4,7449,2019-08-07 11:06:13.800,199,5s,199__1676,,,,,,
60,D,,14024,5second/track_14024_5s.png,31_02_R_190808160000.cfr.mp4,30336,2019-08-08 16:25:17.650,199,5s,199__14024,,,,,,
61,DU,,10280,5second/track_10280_5s.png,30_02_R_190808150000.cfr.mp4,36401,2019-08-08 15:30:24.700,212,5s,212__10280,,,,,,
62,D,,3840,5second/track_03840_5s.png,1_02_R_190807110000.cfr.mp4,17807,2019-08-07 11:14:51.050,220,5s,220__3840,,,,,,
63,D,,12465,5second/track_12465_5s.png,1_02_R_190807110000.cfr.mp4,64296,2019-08-07 11:53:35.850,220,5s,220__12465,,,,,,
64,D,,7170,5second/track_07170_5s.png,4_02_R_190807140000.cfr.mp4,37997,2019-08-07 14:31:42.450,220,5s,220__7170,,,,,,
65,U,,7332,5second/track_07332_5s.png,2_02_R_190807120000.cfr.mp4,31345,2019-08-07 12:26:08.100,221,5s,221__7332,,,,,,
66,DU,True,3233,5second/track_03233_5s.png,31_02_R_190808160000.cfr.mp4,10026,2019-08-08 16:08:31.600,221,5s,221__3233,,,end_on_ramp,,,
67,U,,3303,5second/track_03303_5s.png,31_02_R_190808160000.cfr.mp4,10217,2019-08-08 16:08:35.900,221,5s,221__3303,,,,,,
68,DU,,3417,5second/track_03417_5s.png,31_02_R_190808160000.cfr.mp4,10489,2019-08-08 16:08:50.800,221,5s,221__3417,,,,,,
69,U,,3463,5second/track_03463_5s.png,31_02_R_190808160000.cfr.mp4,10608,2019-08-08 16:08:56.100,221,5s,221__3463,,,,,,
70,UD,,3499,5second/track_03499_5s.png,31_02_R_190808160000.cfr.mp4,10709,2019-08-08 16:09:27.800,221,5s,221__3499,,,end_on_ramp,,,
71,D,,3811,5second/track_03811_5s.png,31_02_R_190808160000.cfr.mp4,11546,2019-08-08 16:09:46.900,221,5s,221__3811,,,,,,
72,x,True,8677,5second/track_08677_5s.png,1_02_R_190807110000.cfr.mp4,45029,2019-08-07 11:37:31.800,223,5s,223__8677,,,stay_at_exit,,,
73,D,,1651,5second/track_01651_5s.png,1_02_R_190807110000.cfr.mp4,7389,2019-08-07 11:06:12.100,243,5s,243__1651,,,,,,
74,D,,12915,5second/track_12915_5s.png,31_02_R_190808160000.cfr.mp4,28300,2019-08-08 16:23:37.600,256,5s,256__12915,,,,,,
75,U,,14008,5second/track_14008_5s.png,31_02_R_190808160000.cfr.mp4,30306,2019-08-08 16:25:21.450,256,5s,256__14008_14014,x,,,,,
76,D,,415,5second/track_00415_5s.png,1_02_R_190807110000.cfr.mp4,1934,2019-08-07 11:01:37.350,259,5s,259__415,,,,,,
77,D,,7340,5second/track_07340_5s.png,4_02_R_190807140000.cfr.mp4,38634,2019-08-07 14:32:12.850,259,5s,259__7340,,,,,,
78,D,,8731,5second/track_08731_5s.png,31_02_R_190808160000.cfr.mp4,21649,2019-08-08 16:18:03.650,261,5s,261__8731,,,,,,
79,U,,10293,5second/track_10293_5s.png,1_02_R_190807110000.cfr.mp4,52513,2019-08-07 11:43:46.400,266,5s,266__10293,,,,,,
80,D,,12532,5second/track_12532_5s.png,1_02_R_190807110000.cfr.mp4,64476,2019-08-07 11:53:44.600,266,5s,266__12532,,,,,,
81,D,,205,5second/track_00205_5s.png,4_02_R_190807140000.cfr.mp4,1781,2019-08-07 14:01:30.050,266,5s,266__205,,,,,,
82,U,,5134,5second/track_05134_5s.png,4_02_R_190807140000.cfr.mp4,28824,2019-08-07 14:24:01.700,266,5s,266__5134,,,,,,
83,D,,7145,5second/track_07145_5s.png,4_02_R_190807140000.cfr.mp4,37897,2019-08-07 14:31:35.600,266,5s,266__7145,,,,,,
84,U,,15195,5second/track_15195_5s.png,4_02_R_190807140000.cfr.mp4,70822,2019-08-07 14:59:02.000,266,5s,266__15195,,,,,,
85,U,,14619,5second/track_14619_5s.png,5_02_R_190807150000.cfr.mp4,63757,2019-08-07 15:53:08.700,266,5s,266__14619,,,,,,
86,U,,5990,5second/track_05990_5s.png,26_02_R_190808110000.cfr.mp4,22240,2019-08-08 11:18:33.450,266,5s,266__5990,,,,,,
87,U,,16130,5second/track_16130_5s.png,27_02_R_190808120000.cfr.mp4,61175,2019-08-08 12:51:00.650,266,5s,266__16130,,,,,,
88,D,,14185,5second/track_14185_5s.png,28_02_R_190808130000.cfr.mp4,60734,2019-08-08 13:50:37.200,266,5s,266__14185,,,,,,
89,U,,1863,5second/track_01863_5s.png,31_02_R_190808160000.cfr.mp4,6197,2019-08-08 16:05:10.550,266,5s,266__1863,,,,,,
90,U,,7515,5second/track_07515_5s.png,2_02_R_190807120000.cfr.mp4,32689,2019-08-07 12:27:16.600,269,5s,269__7515,,,,,,
91,D,,10654,5second/track_10654_5s.png,5_02_R_190807150000.cfr.mp4,44519,2019-08-07 15:37:07.600,269,5s,269__10654,,,,,,
92,D,,8113,5second/track_08113_5s.png,6_02_R_190807160000.cfr.mp4,34917,2019-08-07 16:29:07.850,269,5s,269__8113,,,,,,
93,D,,6979,5second/track_06979_5s.png,27_02_R_190808120000.cfr.mp4,26928,2019-08-08 12:22:27.950,269,5s,269__6979,,,,,,
94,U,,10252,5second/track_10252_5s.png,27_02_R_190808120000.cfr.mp4,37678,2019-08-08 12:31:25.500,269,5s,269__10252,,,,,,
95,D,,15792,5second/track_15792_5s.png,30_02_R_190808150000.cfr.mp4,54039,2019-08-08 15:45:03.800,269,5s,269__15792,,,,,,
96,DU,,5054,5second/track_05054_5s.png,31_02_R_190808160000.cfr.mp4,14547,2019-08-08 16:12:12.950,269,5s,269__5054,,,,,,
97,U,,5094,5second/track_05094_5s.png,31_02_R_190808160000.cfr.mp4,14627,2019-08-08 16:12:12.250,269,5s,269__5094,,,,,,
98,DU,,11004,5second/track_11004_5s.png,6_02_R_190807160000.cfr.mp4,46318,2019-08-07 16:38:45.600,270,5s,270__11004,,,,,,
99,D,,2931,5second/track_02931_5s.png,2_02_R_190807120000.cfr.mp4,12112,2019-08-07 12:10:09.000,278,5s,278__2931,,,,,,
100,D,,4914,5second/track_04914_5s.png,26_02_R_190808110000.cfr.mp4,17766,2019-08-08 11:14:50.600,278,5s,278__4914,,,,,,
101,D,,18103,5second/track_18103_5s.png,31_02_R_190808160000.cfr.mp4,39729,2019-08-08 16:33:09.100,282,5s,282__18103,,,,,,
102,D,,17287,5second/track_17287_5s.png,27_02_R_190808120000.cfr.mp4,67028,2019-08-08 12:55:52.200,320,5s,320__17287,,,,,,
103,D,,3799,5second/track_03799_5s.png,28_02_R_190808130000.cfr.mp4,17629,2019-08-08 13:14:42.000,320,5s,320__3799,,,,,,
104,D,,10584,5second/track_10584_5s.png,28_02_R_190808130000.cfr.mp4,46877,2019-08-08 13:39:06.500,320,5s,320__10584,,,,,,
105,U,,5374,5second/track_05374_5s.png,29_02_R_190808140000.cfr.mp4,24889,2019-08-08 14:20:45.400,320,5s,320__5374,,,,,,
106,D,,8414,5second/track_08414_5s.png,29_02_R_190808140000.cfr.mp4,37703,2019-08-08 14:31:26.450,320,5s,320__8414,,,,,,
107,x,x,14956,5second/track_14956_5s.png,30_02_R_190808150000.cfr.mp4,51442,2019-08-08 15:42:56.350,320,5s,320__14956_14971,x,,disjointed,,,
108,x,x,15011,5second/track_15011_5s.png,30_02_R_190808150000.cfr.mp4,51630,2019-08-08 15:43:07.150,320,5s,320__15011_15036,x,,stay_at_entrance,,,
109,U,,23648,5second/track_23648_5s.png,31_02_R_190808160000.cfr.mp4,57985,2019-08-08 16:48:20.150,320,5s,320__23648,,,,,,
110,D,,143,5second/track_00143_5s.png,2_02_R_190807120000.cfr.mp4,647,2019-08-07 12:00:33.600,327,5s,327__143,,,,,,
111,D,,6056,5second/track_06056_5s.png,27_02_R_190808120000.cfr.mp4,24206,2019-08-08 12:20:12.200,327,5s,327__6056,,,,,,
112,U,,6760,5second/track_06760_5s.png,27_02_R_190808120000.cfr.mp4,26383,2019-08-08 12:22:02.300,327,5s,327__6760,,,,,,
113,U,,13246,5second/track_13246_5s.png,30_02_R_190808150000.cfr.mp4,46246,2019-08-08 15:38:36.450,331,5s,331__13246,,,,,,
114,DU,,15235,5second/track_15235_5s.png,6_02_R_190807160000.cfr.mp4,60446,2019-08-07 16:51:40.050,332,5s,332__15235_15397,,x,complex u-turn,,,
115,DU,,16345,5second/track_16345_5s.png,6_02_R_190807160000.cfr.mp4,63654,2019-08-07 16:53:53.000,332,5s,332__16345_16409,,,,,,
116,D,,17214,5second/track_17214_5s.png,30_02_R_190808150000.cfr.mp4,58472,2019-08-08 15:49:55.800,332,5s,332__17214_17366_17374,,,,,,
117,D,,1022,5second/track_01022_5s.png,2_02_R_190807120000.cfr.mp4,4589,2019-08-07 12:03:55.050,336,5s,336__1022,,,,,,
118,U,,1597,5second/track_01597_5s.png,2_02_R_190807120000.cfr.mp4,7219,2019-08-07 12:06:02.000,336,5s,336__1597,,,,,,
119,D,,14727,5second/track_14727_5s.png,31_02_R_190808160000.cfr.mp4,31800,2019-08-08 16:26:34.600,336,5s,336__14727_14752,,,,,,
120,D,,15584,5second/track_15584_5s.png,31_02_R_190808160000.cfr.mp4,33607,2019-08-08 16:28:02.800,339,5s,339__15584,,,end_on_ramp,,,
121,D,,15594,5second/track_15594_5s.png,31_02_R_190808160000.cfr.mp4,33634,2019-08-08 16:28:03.700,339,5s,339__15594,,,,,,
122,U,,18342,5second/track_18342_5s.png,31_02_R_190808160000.cfr.mp4,40377,2019-08-08 16:33:40.500,339,5s,339__18342,,,,,,
123,D,,15339,5second/track_15339_5s.png,31_02_R_190808160000.cfr.mp4,33086,2019-08-08 16:27:38.850,344,5s,344__15339,,,,,,
124,D,,5502,5second/track_05502_5s.png,4_02_R_190807140000.cfr.mp4,30783,2019-08-07 14:25:43.000,350,5s,350__5502,,,,,,
125,D,,6322,5second/track_06322_5s.png,1_02_R_190807110000.cfr.mp4,32279,2019-08-07 11:26:54.900,359,5s,359__6322,,,,,,
126,D,,11563,5second/track_11563_5s.png,29_02_R_190808140000.cfr.mp4,51505,2019-08-08 14:43:04.250,360,5s,360__11563,,,,,,
127,D,,13631,5second/track_13631_5s.png,31_02_R_190808160000.cfr.mp4,29582,2019-08-08 16:24:40.450,373,5s,373__13631,,,,,,
128,x,x,14853,5second/track_14853_5s.png,31_02_R_190808160000.cfr.mp4,32051,2019-08-08 16:26:43.000,373,5s,373__14853,,,stay_at_exit,,,
129,U,,15038,5second/track_15038_5s.png,31_02_R_190808160000.cfr.mp4,32397,2019-08-08 16:27:01.550,373,5s,373__15038,,,,,,
130,U,,8083,5second/track_08083_5s.png,1_02_R_190807110000.cfr.mp4,41471,2019-08-07 11:34:34.400,381,5s,381__8083,,,,,,
131,DU,x,10138,5second/track_10138_5s.png,3_02_R_190807130000.cfr.mp4,65105,2019-08-07 13:54:17.200,381,5s,381__10138,,,stay_at_entrance,,,
132,U,,34,5second/track_00034_5s.png,4_02_R_190807140000.cfr.mp4,172,2019-08-07 14:00:09.400,381,5s,381__34,,,,,,
133,D,,12840,5second/track_12840_5s.png,4_02_R_190807140000.cfr.mp4,62289,2019-08-07 14:51:56.250,381,5s,381__12840,,,,,,
134,UD,,6141,5second/track_06141_5s.png,27_02_R_190808120000.cfr.mp4,24451,2019-08-08 12:20:23.950,381,5s,381__6141,,,,,,
135,D,,11655,5second/track_11655_5s.png,28_02_R_190808130000.cfr.mp4,50620,2019-08-08 13:42:12.450,381,5s,381__11655,,,,,,
136,U,,6677,5second/track_06677_5s.png,30_02_R_190808150000.cfr.mp4,23038,2019-08-08 15:19:12.850,381,5s,381__6677,,,,,,
137,D,,9098,5second/track_09098_5s.png,30_02_R_190808150000.cfr.mp4,32636,2019-08-08 15:27:15.600,381,5s,381__9098,,,,,,
138,D,,15875,5second/track_15875_5s.png,30_02_R_190808150000.cfr.mp4,54318,2019-08-08 15:45:33.300,381,5s,381__15875,,,start_on_ramp,,,
139,DU,,2843,5second/track_02843_5s.png,1_02_R_190807110000.cfr.mp4,12652,2019-08-07 11:10:35.500,382,5s,382__2843,,,,,,
140,x,x,2886,5second/track_02886_5s.png,1_02_R_190807110000.cfr.mp4,12837,2019-08-07 11:10:50.650,382,5s,382__2886_2934,,,end_on_ramp,,,
141,DU,,2938,5second/track_02938_5s.png,1_02_R_190807110000.cfr.mp4,13001,2019-08-07 11:10:58.000,382,5s,382__2938,,,,,,
142,DU,x,3349,5second/track_03349_5s.png,1_02_R_190807110000.cfr.mp4,15141,2019-08-07 11:12:38.500,382,5s,382__3349,,,stay_at_entrance,,,
143,DU,x,3403,5second/track_03403_5s.png,1_02_R_190807110000.cfr.mp4,15444,2019-08-07 11:12:56.550,382,5s,382__3403_3413,x,,stay_at_entrance,,,
144,DU,,11196,5second/track_11196_5s.png,1_02_R_190807110000.cfr.mp4,57061,2019-08-07 11:47:41.100,382,5s,382__11196,,,,,,
145,DU,x,12036,5second/track_12036_5s.png,1_02_R_190807110000.cfr.mp4,61860,2019-08-07 11:51:43.800,382,5s,382__12036,,,,,,
146,x,x,12455,5second/track_12455_5s.png,1_02_R_190807110000.cfr.mp4,64268,2019-08-07 11:53:34.050,382,5s,382__12455,,,stay_at_entrance,,,
147,D,,1288,5second/track_01288_5s.png,2_02_R_190807120000.cfr.mp4,6101,2019-08-07 12:05:07.250,382,5s,382__1288,,,,,,
148,U,,1881,5second/track_01881_5s.png,2_02_R_190807120000.cfr.mp4,8001,2019-08-07 12:06:44.350,382,5s,382__1881,,,,,,
149,DU,,16696,5second/track_16696_5s.png,6_02_R_190807160000.cfr.mp4,64677,2019-08-07 16:54:01.000,382,5s,382__16696,,,,,,
150,DU,,16777,5second/track_16777_5s.png,6_02_R_190807160000.cfr.mp4,64956,2019-08-07 16:54:16.200,382,5s,382__16777,,,,,,
151,D,,7151,5second/track_07151_5s.png,27_02_R_190808120000.cfr.mp4,27442,2019-08-08 12:22:56.500,382,5s,382__7151,,,,,,
152,U,,7562,5second/track_07562_5s.png,27_02_R_190808120000.cfr.mp4,28674,2019-08-08 12:24:07.250,382,5s,382__7562_7599,x,,,,,
153,D,,7724,5second/track_07724_5s.png,27_02_R_190808120000.cfr.mp4,29244,2019-08-08 12:24:33.800,382,5s,382__7724,,,,,,
154,U,,12131,5second/track_12131_5s.png,27_02_R_190808120000.cfr.mp4,44776,2019-08-08 12:37:20.050,382,5s,382__12131,,,,,,
155,D,,2769,5second/track_02769_5s.png,28_02_R_190808130000.cfr.mp4,13460,2019-08-08 13:11:14.200,382,5s,382__2769,,,,,,
156,U,,2901,5second/track_02901_5s.png,28_02_R_190808130000.cfr.mp4,13883,2019-08-08 13:11:35.100,382,5s,382__2901,,,,,,
157,DU,,6000,5second/track_06000_5s.png,29_02_R_190808140000.cfr.mp4,28299,2019-08-08 14:23:50.450,382,5s,382__6000,,,,,,
158,D,,6094,5second/track_06094_5s.png,29_02_R_190808140000.cfr.mp4,28790,2019-08-08 14:24:20.250,382,5s,382__6094_6125,,,,,,
159,U,,6174,5second/track_06174_5s.png,29_02_R_190808140000.cfr.mp4,29198,2019-08-08 14:24:32.150,382,5s,382__6174,,,,,,
160,U,,6247,5second/track_06247_5s.png,29_02_R_190808140000.cfr.mp4,29423,2019-08-08 14:25:26.500,382,5s,382__6247,,,start_on_ramp,,,
161,DU,,6919,5second/track_06919_5s.png,29_02_R_190808140000.cfr.mp4,31967,2019-08-08 14:26:41.800,382,5s,382__6919,,,,,,
162,D,,8933,5second/track_08933_5s.png,29_02_R_190808140000.cfr.mp4,39600,2019-08-08 14:33:07.000,382,5s,382__8933,,,,,,
163,U,,9024,5second/track_09024_5s.png,29_02_R_190808140000.cfr.mp4,39934,2019-08-08 14:33:25.700,382,5s,382__9024_9030,x,,,,,
164,D,,18023,5second/track_18023_5s.png,30_02_R_190808150000.cfr.mp4,61499,2019-08-08 15:51:21.450,382,5s,382__18023_18056,x,,,,,
165,D,,10970,5second/track_10970_5s.png,1_02_R_190807110000.cfr.mp4,55994,2019-08-07 11:46:47.100,384,5s,384__10970,,,,,,
166,D,,7510,5second/track_07510_5s.png,4_02_R_190807140000.cfr.mp4,39189,2019-08-07 14:32:41.650,384,5s,384__7510,,,,,,
167,D,,7681,5second/track_07681_5s.png,26_02_R_190808110000.cfr.mp4,28781,2019-08-08 11:24:00.700,384,5s,384__7681,,,,,,
168,DU,,23299,5second/track_23299_5s.png,31_02_R_190808160000.cfr.mp4,56285,2019-08-08 16:47:07.650,384,5s,384__23299,,,,,,
169,DU,,23429,5second/track_23429_5s.png,31_02_R_190808160000.cfr.mp4,57015,2019-08-08 16:47:40.400,384,5s,384__23429,,,,,,
170,UD,,23458,5second/track_23458_5s.png,31_02_R_190808160000.cfr.mp4,57132,2019-08-08 16:48:00.450,384,5s,384__23458_23531_23535,,,start_on_ramp,,,
171,U,,23551,5second/track_23551_5s.png,31_02_R_190808160000.cfr.mp4,57531,2019-08-08 16:48:01.600,384,5s,384__23551,,,start_on_ramp,,,
172,D,,833,5second/track_00833_5s.png,3_02_R_190807130000.cfr.mp4,4967,2019-08-07 13:04:13.950,397,5s,397__833,,,,,,
173,U,,5690,5second/track_05690_5s.png,5_02_R_190807150000.cfr.mp4,24702,2019-08-07 15:20:35.400,397,5s,397__5690,,,,,,
174,D,,12633,5second/track_12633_5s.png,5_02_R_190807150000.cfr.mp4,54309,2019-08-07 15:45:16.350,397,5s,397__12633,,,,,,
175,U,,565,5second/track_00565_5s.png,26_02_R_190808110000.cfr.mp4,2077,2019-08-08 11:01:44.400,397,5s,397__565,,,,,,
176,D,,9740,5second/track_09740_5s.png,26_02_R_190808110000.cfr.mp4,38499,2019-08-08 11:32:08.250,397,5s,397__9740,,,,,,
177,D,,934,5second/track_00934_5s.png,27_02_R_190808120000.cfr.mp4,4273,2019-08-08 12:03:34.300,397,5s,397__934,,,,,,
178,D,,12148,5second/track_12148_5s.png,29_02_R_190808140000.cfr.mp4,54682,2019-08-08 14:45:34.750,397,5s,397__12148,,,,,,
179,U,,4439,5second/track_04439_5s.png,2_02_R_190807120000.cfr.mp4,18851,2019-08-07 12:15:43.800,399,5s,399__4439,,,,,,
180,D,,7068,5second/track_07068_5s.png,2_02_R_190807120000.cfr.mp4,30269,2019-08-07 12:25:15.250,399,5s,399__7068,,,,,,
